#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
40500,1204802.9450656176,0.7715184835838323,0
42000,1204812.6494582295,0.7802312679930796,45.2
43500,1204816.5010209084,0.7839086707233204,44.9
45000,1204817.4902534485,0.7811300086437112,44.6
46500,1204819.1132204533,0.7843062499545027,44.5
48000,1204821.115671575,0.7900694456221334,44.3
49500,1204821.7306225896,0.7941594827912211,44.2
51000,1204822.0474865437,0.7916201039165035,44.1
52500,1204820.2893849015,0.7933256669503367,44.1
54000,1204821.8941479325,0.792375737368871,44
55500,1204820.5067174435,0.790799966907616,44
57000,1204822.4108620882,0.795044360862366,43.9
58500,1204823.4626760483,0.8007443828413662,43.9
60000,1204823.1479353309,0.8019286030062809,43.9
61500,1204822.471523285,0.7986856919473805,43.9
63000,1204821.9687618613,0.7964850732382099,43.8
64500,1204824.064116776,0.7985683468812468,43.8
66000,1204822.488322556,0.803237978241259,43.8
67500,1204822.5362399817,0.8013134999121952,43.8
69000,1204822.1805235744,0.7984066340606224,43.8
