#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,1207085.474341154,4.486900383557155,0
2000,1206641.4578242302,4.243207843382821,11.7
3000,1206363.5328152776,3.8637984507390097,11.7
4000,1206108.1984636784,3.5389140255948695,11.6
5000,1205940.6025521755,3.169688040882624,11.6
6000,1205802.3570298553,2.8302884660372096,11.5
7000,1205700.4583141208,2.5059789376407564,11.5
8000,1205609.6256179214,2.2195999760805636,11.4
9000,1205524.6172686815,1.9772362866921607,11.4
10000,1205446.885030806,1.7659524076547812,11.4
11000,1205361.747400701,1.6037534397743451,11.3
12000,1205286.233620882,1.4612188063136367,11.3
13000,1205219.7129877806,1.3370853525014967,11.3
14000,1205171.8769180775,1.2081850722217884,11.3
15000,1205125.286688745,1.1030286442103068,11.2
16000,1205078.9571237564,1.0160649607198966,11.2
17000,1205040.1278449297,0.9386572824632349,11.2
18000,1205011.6439323425,0.8606181999361799,11.2
19000,1204981.4310391545,0.797111552258658,11.2
20000,1204952.4981344938,0.7415029651510199,11.2
