step	bond_idx	atom_i	atom_j	S(t)
1000	47775	10861	9545	0.9824
1000	47857	53302	53301	0.9824
1000	48011	41730	40453	0.9824
1000	48093	2377	3620	0.9824
1000	48102	48946	50153	0.9824
1000	48133	44926	44951	0.9824
1000	48222	15727	15728	0.9824
1000	48327	36774	35491	0.9824
1000	48355	44683	44684	0.9824
1000	48438	42896	42895	0.9824
1000	48502	20775	22057	0.9824
1000	48539	11776	11805	0.9824
1000	48681	34368	34369	0.9824
1000	48771	44199	44200	0.9824
1000	48803	31655	31656	0.9824
1000	48908	6135	6174	0.9824
1000	48985	25414	25415	0.9824
1000	49047	30393	29100	0.9824
1000	49051	39798	41089	0.9824
1000	49055	30542	30541	0.9824
1000	49130	37494	36200	0.9824
1000	49169	5410	5411	0.9824
1000	49232	15064	16433	0.9824
1000	49292	7043	7074	0.9824
1000	49306	25403	26707	0.9824
1000	49392	55144	55110	0.9824
1000	49467	3176	3146	0.9824
1000	49475	18222	18223	0.9824
1000	49558	3013	3012	0.9824
1000	49623	35858	35859	0.9824
1000	49778	52713	52712	0.9824
1000	49802	1557	1558	0.9824
1000	49836	703	1889	0.9824
1000	49850	45806	45774	0.9824
1000	50181	9479	9478	0.9824
1000	50214	5369	5368	0.9824
1000	50397	40996	39710	0.9824
1000	50434	20236	20237	0.9824
1000	50500	18448	18480	0.9824
1000	50789	5154	5179	0.9824
1000	50844	56323	55044	0.9824
1000	51007	57292	57322	0.9824
1000	51027	38740	37436	0.9824
1000	51030	11980	11981	0.9824
1000	51076	13763	15072	0.9824
1000	51111	39364	39365	0.9824
1000	51215	52342	52341	0.9824
1000	51231	42914	42881	0.9824
1000	51244	16587	17912	0.9824
1000	51287	38398	37068	0.9824
1000	51397	52862	52889	0.9824
1000	51405	33303	33276	0.9824
1000	51451	52046	52024	0.9824
1000	51534	26991	25693	0.9824
1000	51548	27509	27540	0.9824
1000	51572	47904	47873	0.9824
1000	51610	35367	35366	0.9824
1000	51687	38004	38005	0.9824
1000	51809	27194	25890	0.9824
1000	51810	27194	28504	0.9824
1000	51904	16409	16408	0.9824
1000	51986	20455	19130	0.9824
1000	52005	45078	43814	0.9824
1000	52029	20829	22109	0.9824
1000	52159	39360	39333	0.9824
1000	52180	48822	48799	0.9824
1000	52283	8473	9759	0.9824
1000	52366	39285	39286	0.9824
1000	52427	10089	8784	0.9824
1000	52458	5157	3856	0.9824
1000	52477	51234	51199	0.9824
1000	52534	28148	28178	0.9824
1000	52547	52265	51023	0.9824
1000	52552	44764	44763	0.9824
1000	52728	12030	12031	0.9824
1000	52748	27995	28019	0.9824
1000	52767	34218	35474	0.9824
1000	52772	32311	31072	0.9824
1000	52812	26598	26620	0.9824
1000	52831	25801	25773	0.9824
1000	52835	10194	10221	0.9824
1000	52876	25864	24629	0.9824
1000	52920	55311	55312	0.9824
1000	52987	15270	16624	0.9824
1000	53074	36549	36530	0.9824
1000	53079	37825	37805	0.9824
1000	53086	55101	53844	0.9824
1000	53109	27196	27197	0.9824
1000	53264	24298	24323	0.9824
1000	53280	27220	27221	0.9824
1000	53317	30141	30140	0.9824
1000	53389	21260	19991	0.9824
1000	53694	31088	29803	0.9824
1000	53699	42149	42148	0.9824
1000	53820	7596	7575	0.9824
1000	53887	18330	16983	0.9824
1000	53953	2359	2360	0.9824
1000	53982	50603	50629	0.9824
1000	53984	16930	16960	0.9824
1000	54012	23016	21762	0.9824
1000	54081	55714	55691	0.9824
1000	54126	112	111	0.9824
1000	54548	42379	43706	0.9824
1000	54566	15506	16843	0.9824
1000	54700	24671	25912	0.9824
1000	54713	9218	9242	0.9824
1000	54970	36720	35441	0.9824
1000	55003	536	509	0.9824
1000	55063	49958	49957	0.9824
1000	55069	37934	36632	0.9824
1000	55090	35047	35046	0.9824
1000	55168	2691	1464	0.9824
1000	55171	39212	40516	0.9824
1000	55242	50885	50886	0.9824
1000	55259	53978	53979	0.9824
1000	55298	22792	22828	0.9824
1000	55303	25649	24417	0.9824
1000	55423	34607	34608	0.9824
1000	55495	46842	48024	0.9824
1000	55502	34856	34833	0.9824
1000	55513	23221	23186	0.9824
1000	55569	36894	35606	0.9824
1000	55589	30166	28877	0.9824
1000	55606	39270	37945	0.9824
1000	55648	36870	36871	0.9824
1000	55653	51576	51549	0.9824
1000	55737	46919	48099	0.9824
1000	55757	19206	20525	0.9824
1000	55759	48420	47247	0.9824
1000	55763	18716	18715	0.9824
1000	55808	55231	53985	0.9824
1000	55933	37240	37274	0.9824
1000	55937	32953	32980	0.9824
1000	55946	51192	52417	0.9824
1000	56165	20218	18873	0.9824
1000	56221	27097	27098	0.9824
1000	56280	13319	13290	0.9824
1000	56308	36336	36335	0.9824
1000	56338	54720	54740	0.9824
1000	56384	46202	46172	0.9824
1000	56400	35268	35296	0.9824
1000	56435	6058	4748	0.9824
1000	56440	9549	9517	0.9824
1000	56572	20857	20856	0.9824
1000	56687	42969	44238	0.9824
1000	56797	32854	32882	0.9824
1000	56872	44479	44478	0.9824
1000	56994	32312	31073	0.9824
1000	57093	23835	23815	0.9824
1000	57171	21162	21161	0.9824
1000	57206	16129	16159	0.9824
