#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
75000,1204872.0757612586,1.0000701862897972,0
100000,1204871.5806469917,0.9991442476210519,65.5
125000,1204873.0233294964,0.9959249369864746,65.6
150000,1204875.2704671025,1.0046400944197755,65.6
175000,1204872.6187733412,0.9989080445357418,65.6
200000,1204872.3552670479,0.9956958611100992,65.6
225000,1204873.0027047992,0.9995300573021506,65.6
250000,1204871.8827181458,0.9968354423232266,65.6
275000,1204872.5185363889,1.004252414267543,65.6
300000,1204872.2868412137,0.9996190893034945,65.6
325000,1204872.7588958144,1.0000051863078563,65.6
350000,1204872.0447106361,0.9988863640983661,65.6
375000,1204875.7278621793,0.9985532065501503,65.6
400000,1204873.1389400363,1.0035706425864157,65.6
425000,1204872.2684277892,0.9998744732562908,65.6
450000,1204873.4877013564,0.9983550759078664,65.6
475000,1204873.5406874418,0.9977281168717747,65.6
500000,1204872.4011037946,0.9984712743102695,65.6
525000,1204870.912719369,0.9979051654339165,65.6
550000,1204871.6322873235,0.9986639960587026,65.6
575000,1204871.886696577,0.9944835024909009,65.6
600000,1204870.7046602964,0.9963124321428812,65.6
625000,1204870.599111557,0.9897275603180116,65.6
650000,1204871.023017466,1.0001526726965284,65.6
