#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
12.9%,386000,1138256.53338,96123.72008689362,119.78538137086642,51.5
12.9%,387000,1139039.650004981,95475.99316439466,118.97821102450885,51.5
12.9%,388000,1138805.958445195,96240.04978725032,119.93034660431128,51.5
13.0%,389000,1139225.9611846935,95731.46913267087,119.29657454876066,51.5
13.0%,390000,1138875.9313221239,96091.3417268891,119.74503280551961,51.5
13.0%,391000,1139217.7283433545,95802.66790657958,119.38529949904435,51.5
13.1%,392000,1139074.6705820058,95965.90799227983,119.58872250330325,51.5
13.1%,393000,1139101.5345564652,95907.64194326778,119.51611377680398,51.5
13.1%,394000,1138540.4441814832,96467.3078548905,120.21354615461247,51.5
13.2%,395000,1139215.7797420882,96180.52933149437,119.8561746883092,51.5
13.2%,396000,1139433.2129179705,96030.91954638046,119.6697371976411,51.5
13.2%,397000,1138796.7221042402,96430.96812811797,120.16826109878623,51.5
13.3%,398000,1139033.0024735723,95620.50605536718,119.15829697772104,51.5
13.3%,399000,1138970.465944089,96091.4648023065,119.74518617698502,51.5
13.3%,400000,1139065.5204136278,96082.99981854335,119.73463746634991,51.5
13.4%,401000,1139057.392792942,96023.12685784251,119.66002627334916,51.5
13.4%,402000,1139286.7320239246,96211.12304715531,119.89429930411355,51.5
13.4%,403000,1138431.0352442507,96550.88339906873,120.31769452115111,51.5
13.5%,404000,1138851.9583435562,95612.66794401189,119.14852944940365,51.5
13.5%,405000,1138943.271702407,95658.69707104882,119.205889032775,51.5
13.5%,406000,1138888.0235556494,95662.02492348518,119.21003606404756,51.5
13.6%,407000,1138982.0959784836,95697.06597768009,119.25370276813038,51.5
13.6%,408000,1139004.1593178716,96638.24162661593,120.42655671035024,51.5
13.6%,409000,1138962.8213921823,95919.74997695575,119.53120230471002,51.5
13.7%,410000,1139095.8626750894,95958.74826977398,119.57980035495008,51.5
13.7%,411000,1139142.2152707614,96192.45496159895,119.87103591245734,51.5
13.7%,412000,1139105.9716794733,95944.87999484969,119.5625182876387,51.5
13.8%,413000,1139296.646544179,96155.21062086009,119.82462356433683,51.5
13.8%,414000,1139154.7410186063,95547.13481110155,119.06686478525005,51.5
13.8%,415000,1139215.2989642117,95390.36664854996,118.87150682239678,51.5
13.9%,416000,1138967.4076399524,95728.9053794876,119.29337970619191,51.5
13.9%,417000,1138477.6177298464,96363.91913760485,120.08470743594542,51.5
13.9%,418000,1139303.9936988745,95450.8470434544,118.94687497463372,51.5
14.0%,419000,1139236.8495484106,96123.62289554754,119.78526025505394,51.5
14.0%,420000,1138959.1204165015,96007.12634517511,119.64008710006019,51.5
14.0%,421000,1138574.8587085586,96206.52200999303,119.88856568299809,51.5
14.1%,422000,1139360.1149473507,95895.1466822308,119.50054270228365,51.5
14.1%,423000,1139519.3289193083,96282.57554270938,119.98334043175726,51.5
14.1%,424000,1139873.0965367705,96127.13545588004,119.7896374616231,51.5
14.2%,425000,1139160.6502888147,96411.1416954658,120.14355422316474,51.5
14.2%,426000,1139546.0249187145,96181.11549107742,119.85690513599825,51.5
14.2%,427000,1139108.056089798,95856.83058131274,119.45279477121143,51.5
14.3%,428000,1139179.598346036,95414.35237068258,118.90139683154868,51.5
14.3%,429000,1139188.251803374,95556.44810724755,119.07847062748814,51.5
14.3%,430000,1138862.7575382758,96106.73986265337,119.76422132176988,51.5
14.4%,431000,1139400.950919807,96076.13329211433,119.72608068675119,51.5
14.4%,432000,1139269.8921978734,96278.87384231357,119.97872752670911,51.5
14.4%,433000,1139401.1835105084,95737.12291451289,119.3036200565034,51.5
14.5%,434000,1138894.4670975786,95815.74290716602,119.40159302087491,51.5
14.5%,435000,1138926.5327561442,96017.2474261986,119.65269957020999,51.5
14.5%,436000,1138868.4177632444,96151.63897336599,119.82017272580482,51.5
14.6%,437000,1139039.8523253184,95910.63404112129,119.51984240468227,51.5
14.6%,438000,1139321.2414609268,95813.45568867528,119.39874278433659,51.5
14.6%,439000,1139469.8351851944,95945.073228112,119.56275908689199,51.5
14.7%,440000,1139242.085685106,95806.7020127498,119.39032663434095,51.5
14.7%,441000,1139238.046160834,95740.68833352422,119.30806313335927,51.5
14.7%,442000,1138868.9150004033,96013.97480250288,119.64862136269657,51.5
14.8%,443000,1139660.7109433487,96340.31272898198,120.0552901115105,51.4
14.8%,444000,1139213.3050410505,96490.68351127079,120.24267592520162,51.4
14.8%,445000,1138910.829883553,96268.82706110191,119.96620764589406,51.4
14.9%,446000,1138891.1788742822,95815.5153316563,119.40130942574149,51.4
14.9%,447000,1138970.3974655773,95817.71123138403,119.40404586463609,51.4
14.9%,448000,1139327.1359991953,96162.50831518817,119.83371764743544,51.4
15.0%,449000,1139738.5103623252,96215.44210547653,119.89968153492714,51.4
15.0%,450000,1138958.2588359602,96428.99449137069,120.16580163477207,51.4
15.0%,451000,1139022.8721236996,96003.03503725423,119.6349886823214,51.4
15.1%,452000,1138793.409847768,95958.45668423295,119.57943699317838,51.4
15.1%,453000,1139092.8199780453,96115.88730189842,119.77562048003742,51.4
15.1%,454000,1139039.2957374118,95687.90669922008,119.24228885632566,51.4
15.2%,455000,1139315.131275801,95724.15121719171,119.28745526690474,51.4
15.2%,456000,1139191.987366056,96007.05045136219,119.63999252434758,51.4
15.2%,457000,1139078.1508846097,95636.57176876409,119.17831740144688,51.4
15.3%,458000,1138840.66006005,95872.63060115642,119.4724840986837,51.4
15.3%,459000,1139597.4202943482,95957.44747268564,119.57817935572979,51.4
15.3%,460000,1139516.0251163505,95552.82139236448,119.07395116626672,51.4
15.4%,461000,1139606.6726472788,95981.33917540766,119.60795220180326,51.4
15.4%,462000,1138942.439744072,95923.68294185001,119.53610340195586,51.4
15.4%,463000,1139410.9453740492,96117.29150807208,119.77737034335819,51.4
15.5%,464000,1139168.3598132562,95730.72957532687,119.29565294316303,51.4
15.5%,465000,1139363.8989866264,95648.42331373606,119.1930863037846,51.4
15.5%,466000,1139090.6640459076,95613.47591539484,119.1495363097307,51.4
15.6%,467000,1139107.1743246224,95807.73934101459,119.39161930967325,51.4
15.6%,468000,1139062.5933818687,95691.34806886266,119.24657734801845,51.4
15.6%,469000,1139272.9776431918,95928.43094570597,119.54202016685137,51.4
15.7%,470000,1139425.3147394024,95749.63451553961,119.31921149323922,51.4
15.7%,471000,1139899.3130173404,95690.67675154496,119.24574078030292,51.4
15.7%,472000,1139171.9061588682,95836.7461257515,119.427766358174,51.4
15.8%,473000,1139466.917355802,95775.12351066899,119.35097481866579,51.4
15.8%,474000,1139144.2702862713,95847.79652676993,119.4415369082432,51.4
15.8%,475000,1139448.6641153526,95769.2168667299,119.34361420469635,51.4
15.9%,476000,1139597.2516967505,95622.4303879843,119.16069500097917,51.4
15.9%,477000,1139071.965155011,96129.8735047834,119.7930495042678,51.4
15.9%,478000,1139275.3882832248,95750.48007023687,119.32026518832915,51.4
16.0%,479000,1139081.0257157125,96206.18924968837,119.88815101094876,51.4
16.0%,480000,1139432.4445800632,96260.81193657866,119.95621953113024,51.4
16.0%,481000,1139421.4460931923,95948.02595540087,119.56643865281038,51.4
16.1%,482000,1139300.7211918812,95916.48111173713,119.52712878085444,51.4
16.1%,483000,1139546.3669465836,95785.66248975461,119.36410805599671,51.4
16.1%,484000,1139660.1611895077,96641.65401175007,120.43080908275435,51.4
16.2%,485000,1139441.802295437,96414.05974340288,120.14719057311753,51.4
16.2%,486000,1139404.1105465125,96251.26353087362,119.94432070513987,51.4
16.2%,487000,1139138.4789356068,95675.21240207102,119.22646975128205,51.4
16.3%,488000,1138885.6707713772,95920.54534471838,119.53219345892973,51.4
16.3%,489000,1139187.9625330009,95755.80416450005,119.32689985312565,51.4
16.3%,490000,1139485.7794432547,96325.99158346187,120.03744369570136,51.4
16.4%,491000,1139196.6604499705,95735.66479674444,119.30180301079587,51.4
16.4%,492000,1139168.8335325364,95230.99607800134,118.67290584695387,51.4
16.4%,493000,1138929.7112620864,95876.40785667657,119.47719115738478,51.4
16.5%,494000,1139440.7504954897,96116.10010079131,119.77588566116562,51.4
16.5%,495000,1139014.4478614032,95718.11475886317,119.27993288364326,51.4
16.5%,496000,1138705.7742033117,95454.98305120853,118.95202909544525,51.4
16.6%,497000,1138850.284995878,95669.6139163758,119.21949315129721,51.4
16.6%,498000,1139093.0063435026,95580.57802087729,119.1085403220856,51.4
16.6%,499000,1138819.7919330131,95912.4986841619,119.52216604527314,51.4
16.7%,500000,1138672.2486264948,95339.85830682125,118.80856542800511,51.4
16.7%,501000,1138984.1734492593,95813.07203214566,119.3982646875289,51.4
16.7%,502000,1139131.5113940183,95610.64276002639,119.14600574936551,51.4
16.8%,503000,1138561.1541944984,95927.08678706174,119.5403451322639,51.4
16.8%,504000,1138626.8480092753,96008.4599933921,119.64174903699045,51.4
16.8%,505000,1139429.6948524453,95461.4707941344,118.96011385079916,51.4
16.9%,506000,1139472.382794844,95830.30708394808,119.41974229213298,51.4
16.9%,507000,1138611.561313184,95856.8244034421,119.45278707260603,51.4
16.9%,508000,1139010.8510515336,95509.7861240506,119.02032240509607,51.4
17.0%,509000,1138940.9692564756,95786.47631597052,119.36512221237302,51.4
17.0%,510000,1138827.537886925,96048.61588683556,119.69178964097523,51.4
17.0%,511000,1139449.3973704353,95726.03951723341,119.28980838786629,51.4
17.1%,512000,1138577.0864929855,95698.65343035184,119.25568098561429,51.4
17.1%,513000,1138802.0269308817,95663.53299522094,119.21191536031115,51.4
17.1%,514000,1138562.6149213538,96062.43825479518,119.7090145009369,51.4
17.2%,515000,1139081.5799721945,96135.17781529046,119.7996595153704,51.4
17.2%,516000,1138794.1714027096,95774.1329940381,119.34974047804437,51.4
17.2%,517000,1138881.8633193,95781.26906315779,119.35863315053163,51.4
17.3%,518000,1138816.7097180095,95661.0427947682,119.20881217609552,51.4
17.3%,519000,1138978.2326311767,96039.834052928,119.68084608487065,51.4
17.3%,520000,1139248.0454771686,95860.42975898238,119.45727991670299,51.4
17.4%,521000,1139176.446121931,96485.02468767676,120.23562413463726,51.4
17.4%,522000,1139069.8489677329,95972.11731031825,119.59646029714447,51.4
17.4%,523000,1139219.140975248,95707.91805152892,119.26722617113091,51.4
17.5%,524000,1139035.5370053444,95658.85791426935,119.20608946890559,51.4
17.5%,525000,1139306.1261723824,95896.1352700243,119.50177463926816,51.4
17.5%,526000,1139323.3795233015,95825.20718033938,119.4133870044041,51.4
17.6%,527000,1139113.4916621018,95468.80731216763,118.96925631438411,51.4
17.6%,528000,1138690.4994983114,95994.7244737423,119.62463240377971,51.4
17.6%,529000,1138788.7049214412,95708.58890663451,119.26806216285696,51.4
17.7%,530000,1138893.3178183232,95971.52608935602,119.59572354217525,51.4
17.7%,531000,1138942.5315343384,95778.06960740231,119.35464612186169,51.4
17.7%,532000,1138548.967197135,95844.85180736048,119.437867321411,51.4
17.8%,533000,1138885.776872132,95394.08257063024,118.87613744991648,51.4
17.8%,534000,1138392.649463335,95594.48054492014,119.12586506922382,51.4
17.8%,535000,1138755.8101451788,95559.65436715214,119.08246613520568,51.4
17.9%,536000,1138930.327835543,95450.65898269419,118.94664062113739,51.4
17.9%,537000,1138570.5897886176,95549.66738403692,119.0700207722909,51.4
17.9%,538000,1139304.8018457647,94808.90123339846,118.1469088101171,51.4
18.0%,539000,1138943.1998485941,95147.31469374585,118.56862558691374,51.4
18.0%,540000,1138291.0106120668,95897.34773448975,119.5032855620483,51.4
18.0%,541000,1138733.013574494,95870.4062652218,119.46971222377098,51.4
18.1%,542000,1138280.1111641936,95817.63178443538,119.40394686115354,51.4
18.1%,543000,1138878.2744422704,95891.04367904767,119.49542971039556,51.4
18.1%,544000,1138844.0480937809,95944.2365784847,119.56171648892982,51.4
18.2%,545000,1138716.1421868782,96076.27971988442,119.72626315894709,51.4
18.2%,546000,1138738.3977865577,96189.39110700981,119.86721786432007,51.4
18.2%,547000,1138436.1474100128,96101.35011252401,119.75750483936413,51.3
18.3%,548000,1138706.6046265382,95580.54808238265,119.10850301397899,51.3
18.3%,549000,1139540.8758749254,95180.22316812395,118.60963475874095,51.3
18.3%,550000,1138847.7997462507,95674.32062416234,119.22535845474889,51.3
18.4%,551000,1139027.8476991653,95787.28477905081,119.36612968543284,51.3
18.4%,552000,1139266.7902224418,95600.6385535512,119.133538923416,51.3
18.4%,553000,1138979.193373125,95991.03755564796,119.62003791982076,51.3
18.5%,554000,1138608.5801879708,95551.67990965629,119.07252869799973,51.3
18.5%,555000,1138894.3748048432,96037.46748919533,119.67789697159246,51.3
18.5%,556000,1139324.7728556637,95714.47390397219,119.27539580173217,51.3
18.6%,557000,1139120.1574686468,96063.91535748282,119.710855204861,51.3
18.6%,558000,1138695.7947403956,96042.0225243656,119.68357326693908,51.3
18.6%,559000,1139071.6460120603,96120.20046221718,119.78099536100571,51.3
18.7%,560000,1138693.2515623122,95288.62580279264,118.74472161267936,51.3
18.7%,561000,1138548.364400562,95674.84617624005,119.22601337588596,51.3
18.7%,562000,1139351.1352832504,96203.3839557457,119.88465517033337,51.3
18.8%,563000,1139293.616452597,95796.64695335504,119.37779643759848,51.3
18.8%,564000,1139276.168235993,96067.00383750974,119.71470394019444,51.3
18.8%,565000,1139406.5648986213,95451.94265937529,118.94824028561835,51.3
18.9%,566000,1139002.2243774682,95970.88960482305,119.59493038162707,51.3
18.9%,567000,1139051.6243017763,95824.25625414074,119.41220199973245,51.3
18.9%,568000,1139201.0712048914,96301.1572888798,120.00649623086227,51.3
19.0%,569000,1139788.081043167,96270.89494319365,119.96878455453601,51.3
19.0%,570000,1139635.8758142758,96178.90123486298,119.8541458220135,51.3
19.0%,571000,1139084.8185744751,96403.09318654286,120.13352450615075,51.3
19.1%,572000,1139480.1592417192,95373.6309178841,118.85065145102209,51.3
19.1%,573000,1138665.4612631816,95865.70881375636,119.46385845516163,51.3
19.1%,574000,1138991.2098761518,95750.28066592224,119.32001669896718,51.3
19.2%,575000,1138924.6188144702,96053.33342949391,119.69766844639344,51.3
19.2%,576000,1139433.2948083412,95518.5524330388,119.03124661469195,51.3
19.2%,577000,1139167.7923754267,96025.96518852537,119.66356328297589,51.3
19.3%,578000,1139109.6360319555,96394.57808652916,120.12291334272896,51.3
19.3%,579000,1139466.5172955114,95797.10901461382,119.37837223911811,51.3
19.3%,580000,1139172.3570242673,95595.81244671033,119.12752482982967,51.3
19.4%,581000,1139090.0646716766,95427.60340532404,118.91790971969586,51.3
19.4%,582000,1138893.2016794514,96146.06762142762,119.81322993877903,51.3
19.4%,583000,1138812.7072021365,95883.50961236449,119.48604106990076,51.3
19.5%,584000,1138718.7777469866,96018.4721477621,119.65422576727588,51.3
19.5%,585000,1139516.3357581906,95510.85893187101,119.02165929357469,51.3
19.5%,586000,1138674.0799419004,96313.94776104265,120.02243518520731,51.3
19.6%,587000,1139401.1773752049,95761.41729380435,119.33389470136697,51.3
19.6%,588000,1139311.8867130931,96608.61165090732,120.38963306718436,51.3
19.6%,589000,1139876.6924010143,96204.42544741678,119.88595303392941,51.3
19.7%,590000,1139310.5620613862,96293.78333315566,119.99730711398426,51.3
19.7%,591000,1139067.2796280496,95888.90308280906,119.49276218840858,51.3
19.7%,592000,1139423.2629536577,95937.07001355523,119.55278581383297,51.3
19.8%,593000,1139232.1452335771,95686.81544859122,119.24092898518634,51.3
19.8%,594000,1139458.926140057,95784.70632114807,119.36291651845438,51.3
19.8%,595000,1139900.0169202667,95597.93109935959,119.13016500662842,51.3
19.9%,596000,1139264.3713720925,95955.93244976309,119.57629139718637,51.3
19.9%,597000,1139590.2398715038,96231.7133068534,119.91995802922563,51.3
19.9%,598000,1139663.8625645302,96498.18266992061,120.25202106475739,51.3
20.0%,599000,1139688.8343446627,95752.98006797046,119.32338058150863,51.3
20.0%,600000,1139282.8078848608,95999.23648731787,119.63025508740466,51.3
20.0%,601000,1138850.0085021257,96019.41214801813,119.65539715649234,51.3
20.1%,602000,1138780.8711007442,95710.41455501725,119.27033720992732,51.3
20.1%,603000,1139635.1891855262,95266.07774914903,118.71662316619364,51.3
20.1%,604000,1138906.6100931037,95866.57658837648,119.46493983979511,51.3
20.2%,605000,1139410.2804858591,95590.67199538054,119.12111901321748,51.3
20.2%,606000,1139313.5537905935,95723.19460153894,119.28626317227203,51.3
20.2%,607000,1138738.9258488957,96245.60349224688,119.93726740045227,51.3
20.3%,608000,1138985.4988675117,95978.85716229874,119.6048592203149,51.3
20.3%,609000,1138987.6142266598,95783.79888241936,119.36178570605875,51.3
20.3%,610000,1138962.1162383445,95877.7844300675,119.4789065858812,51.3
20.4%,611000,1139067.3394065388,96203.38246451659,119.8846533120257,51.3
20.4%,612000,1139159.9894670844,95952.22007721043,119.57166519294033,51.3
20.4%,613000,1139067.6968567185,96197.61195856627,119.87746234755474,51.3
20.5%,614000,1139068.5428344999,95948.8072401254,119.56741225733383,51.3
20.5%,615000,1139481.0359373447,96455.24172228077,120.1985098420871,51.3
20.5%,616000,1139309.779974211,95760.10807204718,119.33226320367484,51.3
20.6%,617000,1138965.7283096872,96074.41492682317,119.72393933140674,51.3
20.6%,618000,1139562.4359864052,95928.51167929806,119.54212077369543,51.3
20.6%,619000,1139629.6314726695,96267.16765411213,119.96413976193222,51.3
20.7%,620000,1139050.0933938418,96072.19272919922,119.72117012116783,51.3
20.7%,621000,1139191.5240977183,95737.02208243828,119.30349440376649,51.3
20.7%,622000,1139030.1888262555,95609.9909813042,119.14519352983494,51.3
20.8%,623000,1139109.290209569,95574.74925128053,119.10127675188212,51.3
20.8%,624000,1139651.001350604,95951.70767214743,119.57102665506609,51.3
20.8%,625000,1139228.5575808287,96620.59830883227,120.40457034166359,51.3
20.9%,626000,1139543.918428611,96259.64025807448,119.95475943411839,51.3
20.9%,627000,1139615.8320736755,96184.85925525732,119.8615704591843,51.3
20.9%,628000,1139962.6368540488,96356.15226852402,120.0750286867869,51.3
21.0%,629000,1139451.6905695759,96085.26217428544,119.73745671996512,51.3
21.0%,630000,1139794.6596855223,96055.47876106035,119.70034186934899,51.3
21.0%,631000,1139900.4265656602,96578.43134835598,120.35202362959984,51.3
21.1%,632000,1139413.0688285977,96153.74578261186,119.82279814384694,51.3
21.1%,633000,1139110.3729851395,96216.37848928985,119.90084841748316,51.3
21.1%,634000,1139195.546808282,95758.35585693753,119.33007966609469,51.3
21.2%,635000,1139041.9592661895,96056.32458643155,119.70139590174152,51.3
21.2%,636000,1139087.8770608027,95834.70059845308,119.42521730714556,51.3
21.2%,637000,1139325.7844210528,96263.80722856696,119.95995213940645,51.3
21.3%,638000,1139534.842430206,96377.45565291977,120.1015760782323,51.3
21.3%,639000,1139184.5438258573,95925.42654020191,119.53827620169093,51.3
21.3%,640000,1138607.5287285782,95326.40624086652,118.79180202299794,51.3
21.4%,641000,1138435.9521516804,96217.58892730142,119.90235681498078,51.3
21.4%,642000,1139219.202722514,95653.32683972699,119.19919687389523,51.3
21.4%,643000,1139364.8712081108,95706.9297590146,119.26599460211105,51.3
21.5%,644000,1139015.8993130904,95681.59115930862,119.2344186932049,51.3
21.5%,645000,1138978.359493507,95967.09521488391,119.59020197072579,51.3
21.5%,646000,1139103.4923987389,95424.57855665585,118.91414027911469,51.2
21.6%,647000,1139178.671672117,95970.90492240024,119.59494946975457,51.2
21.6%,648000,1138895.0940287784,96209.47212631605,119.89224199523946,51.2
21.6%,649000,1138870.9012522753,95664.11565273226,119.21264144386409,51.2
21.7%,650000,1139121.3308923133,95668.54402567228,119.21815989800832,51.2
21.7%,651000,1139414.618991375,96140.94364908096,119.80684465759013,51.2
21.7%,652000,1139162.8135721907,95532.07681111342,119.04810013205487,51.2
21.8%,653000,1138926.3420917727,95410.54179019941,118.89664824466493,51.2
21.8%,654000,1138761.2670976538,95758.77589416539,119.33060309901514,51.2
21.8%,655000,1139042.869533524,95826.34408849456,119.41480377205342,51.2
21.9%,656000,1138930.1485196892,95916.18643598599,119.52676156819142,51.2
21.9%,657000,1138392.767377507,96167.62869611339,119.84009845314434,51.2
21.9%,658000,1138734.9124285113,96729.34516986732,120.54008615618046,51.2
22.0%,659000,1139516.2318496592,96093.45491655689,119.74766617457811,51.2
22.0%,660000,1139239.0312851425,95671.62603059811,119.22200056434015,51.2
22.0%,661000,1139331.6939987298,95998.38298206011,119.62919148465694,51.2
22.1%,662000,1139208.129976986,96209.23346115765,119.89194458064718,51.2
22.1%,663000,1139319.6522663925,95967.14548785014,119.59026461880502,51.2
22.1%,664000,1139258.4736105315,96043.00993088789,119.68480373187252,51.2
22.2%,665000,1139213.111944789,96426.21474453523,120.162337629899,51.2
22.2%,666000,1139105.7955398075,95707.22327598056,119.26636037074417,51.2
22.2%,667000,1138558.061167512,96078.48260871958,119.72900830737663,51.2
22.3%,668000,1138958.9113310874,95707.75996114973,119.2670291654767,51.2
22.3%,669000,1138699.9470014237,96054.10069624448,119.69862458230085,51.2
22.3%,670000,1139376.7760080043,95537.97639070003,119.05545194272212,51.2
22.4%,671000,1139357.6493368596,95634.35527933796,119.17555530452665,51.2
22.4%,672000,1139280.572997652,95580.9590978961,119.10901520441422,51.2
22.4%,673000,1139524.180042008,95594.21127400475,119.12552951501031,51.2
22.5%,674000,1139002.3441143576,95697.14075727249,119.2537959553477,51.2
22.5%,675000,1138739.1630377043,95923.74364874909,119.53617905236818,51.2
