#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
12.9%,387000,827027.4592347257,95791.40767395202,119.37126746555255,1.49
12.9%,388000,825209.5134310499,96023.37623086935,119.66033703164167,1.5
13.0%,389000,823746.9590286538,95732.04423868807,119.29729122195576,1.51
13.0%,390000,822580.031811975,95814.3935708466,119.399911534084,1.52
13.0%,391000,820803.3730790298,96034.20804707377,119.67383519040844,1.53
13.1%,392000,820074.6211587302,96207.30921857065,119.88954666958084,1.54
13.1%,393000,818930.5316381957,96968.04099431042,120.83753896321606,1.55
13.1%,394000,817493.3257704992,96073.51062970344,119.72281243395352,1.55
13.2%,395000,815314.5570534375,96003.2643314502,119.63527441921013,1.56
13.2%,396000,814511.8476549573,95751.21295756359,119.32117848202871,1.57
13.2%,397000,813118.5203916915,95977.06881122693,119.60263065160193,1.58
13.3%,398000,811770.6669982728,96120.92826671618,119.78190232069679,1.59
13.3%,399000,810589.4180736598,96383.91927192512,120.10963077135999,1.6
13.3%,400000,809039.3017137051,96729.28817512319,120.54001513170124,1.61
13.4%,401000,807270.216814721,96372.22152823565,120.09505352978262,1.62
13.4%,402000,806212.6392534021,95997.43988117325,119.62801623156332,1.63
13.4%,403000,805622.0377091784,95810.8596258573,119.3955076788451,1.64
13.5%,404000,804144.9072755054,96380.16082089396,120.10494714603082,1.64
13.5%,405000,802482.2021574471,96132.03175506662,119.7957390259908,1.65
13.5%,406000,801074.9628112838,96296.59660020669,120.00081289035559,1.66
13.6%,407000,800657.3611837197,95667.7703701471,119.21719580067574,1.67
13.6%,408000,799617.8108672015,96472.79998969162,120.22039022453713,1.68
13.6%,409000,798171.1562625971,96265.75437588185,119.96237859339189,1.69
13.7%,410000,796866.4011549857,96070.6015760773,119.71918729233685,1.7
13.7%,411000,796098.3304741085,96076.06179987901,119.7259915961015,1.71
13.7%,412000,794965.8106170297,96215.75209548195,119.90006783157679,1.72
13.8%,413000,793606.6728325132,95781.87750487929,119.35939136529473,1.73
13.8%,414000,792655.6683485415,96153.74722594107,119.82279994246377,1.74
13.8%,415000,791684.2176662795,96079.21118728339,119.72991623167509,1.75
13.9%,416000,790306.1342661157,96997.82080409033,120.87464932336871,1.76
13.9%,417000,789382.6120458376,96368.23435039308,120.09008487461577,1.76
13.9%,418000,789499.0603460036,95886.9085755343,119.49027671641126,1.77
14.0%,419000,788038.6942865737,96467.73529288432,120.21407881005959,1.78
14.0%,420000,787333.3747758083,96721.47622219278,120.53028020092479,1.79
14.0%,421000,785988.6916561276,96238.3212747353,119.92819260391857,1.8
