#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
21000,38047.19435685873,0.6307202767610189,0
22000,38047.04009181261,0.620475132599063,7.36e+03
23000,38046.71036398411,0.6065045788196154,7.38e+03
24000,38046.44213503599,0.594474643363763,7.38e+03
25000,38046.479793787,0.5866774333859436,7.37e+03
26000,38046.39387881756,0.5857864926777215,7.37e+03
27000,38046.43687415123,0.5854627769481546,7.37e+03
28000,38046.166107833385,0.5957373618491745,7.37e+03
29000,38046.38588625193,0.5873262687229431,7.37e+03
30000,38046.25091266632,0.597675974856409,7.37e+03
31000,38046.230298519135,0.6051180686713609,7.37e+03
32000,38046.40260154009,0.6002930656198949,7.37e+03
33000,38046.442549943924,0.5940821349751694,7.37e+03
34000,38046.34900248051,0.5955125023469482,7.37e+03
35000,38046.26492446661,0.5946155305548784,7.37e+03
36000,38046.53404313326,0.5854907573478015,7.37e+03
37000,38046.20944279432,0.6047251911597814,7.37e+03
38000,38046.24695897102,0.5998708293578681,7.37e+03
39000,38046.185645222664,0.5888901195799104,7.37e+03
40000,38046.28584074974,0.5732138791359095,7.38e+03
