#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
40500,38047.02507632971,0.7689365586156798,0
42000,38047.64376229048,0.7765594381831898,1.47e+04
43500,38047.61910223961,0.7858671990628807,1.47e+04
45000,38047.62046408653,0.791460115727328,1.47e+04
46500,38047.78788435459,0.795433876704036,1.47e+04
48000,38048.0169609189,0.7930471872817743,1.47e+04
49500,38047.83254945278,0.8182420066067618,1.47e+04
51000,38047.59036189318,0.786925490468529,1.47e+04
52500,38047.79006922245,0.7840388087448495,1.47e+04
54000,38047.83492976427,0.8017928935120051,1.47e+04
55500,38048.1973913908,0.8017885387442629,1.47e+04
57000,38048.186157763004,0.817103007179278,1.47e+04
58500,38048.00271117687,0.8197205660763931,1.47e+04
60000,38047.76795768738,0.8020286098816607,1.47e+04
61500,38047.68783593178,0.7855252640619559,1.47e+04
63000,38047.48449778557,0.8064626573428224,1.47e+04
64500,38047.95865166187,0.7809920947404144,1.47e+04
66000,38047.663050055504,0.8148058377711674,1.47e+04
67500,38047.85751700401,0.8083879743228788,1.47e+04
69000,38047.735864043236,0.8032920537160638,1.47e+04
