step	bond_idx	atom_i	atom_j	S(t)
21000	1311	1484	1478	0.6624
21000	1407	25	24	0.6624
21000	1420	1743	1744	0.6624
21000	1481	1704	1703	0.6624
21000	1483	1704	1715	0.6624
21000	1537	838	829	0.6624
21000	1553	687	688	0.6624
21000	1570	325	326	0.6624
21000	1712	709	719	0.6624
22000	1265	1095	971	0.6527
22000	1347	947	948	0.6527
22000	1351	1064	1191	0.6527
22000	1451	385	384	0.6527
22000	1600	1008	1009	0.6527
22000	1663	19	28	0.6527
23000	1313	1606	1612	0.6334
23000	1375	171	160	0.6334
23000	1469	711	701	0.6334
23000	1472	665	676	0.6334
23000	1614	664	789	0.6334
23000	1633	1713	1712	0.6334
23000	1647	1538	1666	0.6334
23000	1651	1347	1358	0.6334
23000	1668	38	39	0.6334
23000	1798	1230	1103	0.6334
23000	1829	1764	1758	0.6334
23000	1834	697	546	0.6334
24000	1284	55	206	0.6238
24000	1344	1431	1442	0.6238
24000	1446	1141	1266	0.6238
24000	1476	1578	1566	0.6238
24000	1480	241	240	0.6238
24000	1697	116	277	0.6238
25000	1289	1169	1156	0.6109
25000	1292	214	226	0.6109
25000	1342	1431	1281	0.6109
25000	1504	215	216	0.6109
25000	1528	1203	1191	0.6109
25000	1639	1782	1772	0.6109
25000	1831	1270	1259	0.6109
25000	1839	1405	1250	0.6109
26000	1366	157	168	0.6029
26000	1396	681	689	0.6029
26000	1693	204	354	0.6029
26000	1815	449	448	0.6029
26000	1853	652	779	0.6029
27000	1324	1461	1460	0.5900
27000	1646	1545	1538	0.5900
27000	1648	285	286	0.5900
27000	1656	1530	1393	0.5900
27000	1700	527	526	0.5900
27000	1736	846	847	0.5900
27000	1788	489	488	0.5900
27000	1792	1732	1731	0.5900
28000	1443	613	625	0.5804
28000	1449	899	888	0.5804
28000	1590	332	178	0.5804
28000	1597	939	1059	0.5804
28000	1715	1138	1264	0.5804
28000	1848	1529	1535	0.5804
29000	1329	904	898	0.5675
29000	1394	389	390	0.5675
29000	1422	1076	957	0.5675
29000	1438	588	574	0.5675
29000	1698	116	117	0.5675
29000	1806	1073	1208	0.5675
29000	1830	1764	1765	0.5675
29000	1852	652	663	0.5675
30000	1357	408	409	0.5579
30000	1462	1472	1462	0.5579
30000	1594	658	659	0.5579
30000	1704	1478	1477	0.5579
30000	1722	485	645	0.5579
30000	1725	1057	1056	0.5579
31000	1359	714	715	0.5514
31000	1411	1451	1450	0.5514
31000	1444	1491	1500	0.5514
31000	1540	838	837	0.5514
32000	1498	402	416	0.5450
32000	1714	1178	1166	0.5450
32000	1797	1110	1111	0.5450
32000	1878	32	28	0.5450
33000	1559	1033	1043	0.5386
33000	1730	1781	1780	0.5386
33000	1752	1666	1658	0.5386
33000	1778	121	122	0.5386
34000	1429	1816	1806	0.5273
34000	1560	1033	1158	0.5273
34000	1669	959	966	0.5273
34000	1699	527	682	0.5273
34000	1772	557	419	0.5273
34000	1785	30	35	0.5273
34000	1795	1574	1696	0.5273
35000	1507	50	200	0.5177
35000	1508	60	50	0.5177
35000	1605	706	567	0.5177
35000	1627	1459	1460	0.5177
35000	1774	1190	1185	0.5177
35000	1794	1574	1562	0.5177
36000	1671	1237	1229	0.5113
36000	1746	1104	1220	0.5113
36000	1773	1191	1190	0.5113
36000	1876	609	601	0.5113
37000	1295	41	42	0.5048
37000	1513	148	139	0.5048
37000	1555	23	24	0.5048
37000	1800	1209	1199	0.5048
38000	1460	1472	1319	0.4968
38000	1465	1180	1181	0.4968
38000	1532	1680	1548	0.4968
38000	1595	795	668	0.4968
38000	1783	30	29	0.4968
39000	1268	1627	1623	0.4807
39000	1343	1293	1292	0.4807
39000	1464	1181	1310	0.4807
39000	1536	1083	963	0.4807
39000	1547	541	531	0.4807
39000	1571	325	331	0.4807
39000	1579	1438	1426	0.4807
39000	1667	37	38	0.4807
39000	1787	844	967	0.4807
39000	1818	128	293	0.4807
40000	1277	570	709	0.4727
40000	1318	1465	1452	0.4727
40000	1345	1431	1430	0.4727
40000	1724	360	348	0.4727
40000	1761	1089	1102	0.4727
41000	1283	56	57	0.4662
41000	1307	1225	1226	0.4662
41000	1328	784	658	0.4662
41000	1622	1455	1303	0.4662
42000	1490	1271	1145	0.4566
42000	1529	1689	1694	0.4566
42000	1572	47	46	0.4566
42000	1582	498	353	0.4566
42000	1763	39	40	0.4566
42000	1855	1661	1791	0.4566
43000	1281	367	356	0.4469
43000	1370	436	429	0.4469
43000	1539	839	710	0.4469
43000	1765	1497	1498	0.4469
43000	1808	357	207	0.4469
43000	1812	6	144	0.4469
44000	1301	1501	1502	0.4389
44000	1563	1719	1604	0.4389
44000	1641	292	282	0.4389
44000	1805	1094	1081	0.4389
44000	1867	1818	1810	0.4389
45000	1330	1164	1292	0.4373
46000	1282	55	56	0.4325
46000	1491	1133	1008	0.4325
46000	1634	1713	1598	0.4325
47000	1416	793	666	0.4293
47000	1599	813	686	0.4293
48000	1397	872	873	0.4277
49000	1317	1182	1174	0.4164
49000	1447	1141	1148	0.4164
49000	1479	240	251	0.4164
49000	1662	1391	1239	0.4164
49000	1679	929	928	0.4164
49000	1744	105	262	0.4164
49000	1860	781	771	0.4164
50000	1365	1156	1285	0.4100
50000	1380	381	380	0.4100
50000	1631	1709	1701	0.4100
50000	1809	357	358	0.4100
51000	1530	1694	1701	0.4068
51000	1732	1705	1717	0.4068
52000	1322	1449	1448	0.4035
52000	1392	669	668	0.4035
53000	1496	402	256	0.3939
53000	1588	428	281	0.3939
53000	1643	151	150	0.3939
53000	1750	1523	1529	0.3939
53000	1822	617	609	0.3939
53000	1862	781	790	0.3939
54000	1304	278	279	0.3875
54000	1505	382	237	0.3875
54000	1626	1582	1446	0.3875
54000	1811	6	7	0.3875
56000	1410	1451	1463	0.3826
56000	1642	291	298	0.3826
56000	1705	1768	1767	0.3826
57000	1274	529	530	0.3730
57000	1315	165	164	0.3730
57000	1382	807	798	0.3730
57000	1399	735	734	0.3730
57000	1448	899	1019	0.3730
57000	1561	432	433	0.3730
58000	1309	1225	1105	0.3650
58000	1520	912	781	0.3650
58000	1558	1033	909	0.3650
58000	1721	484	485	0.3650
58000	1767	825	952	0.3650
59000	1826	1502	1509	0.3601
59000	1851	679	804	0.3601
59000	1856	1661	1660	0.3601
60000	1415	684	676	0.3537
60000	1484	1715	1716	0.3537
60000	1784	29	24	0.3537
