#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
12.8%,384000,26545.955615594983,3057.8055984580783,120.12721887616703,1.34e+03
12.8%,385000,26437.264349631965,3136.650298122434,123.2246670915087,1.34e+03
12.9%,386000,26376.208759706467,3045.3996478489007,119.63984572695601,1.35e+03
12.9%,387000,26351.579938348383,2906.3710691832357,114.17804772781754,1.36e+03
12.9%,388000,26300.682105876505,3041.35192390181,119.48082913650056,1.36e+03
13.0%,389000,26149.801703248173,3027.3705045170605,118.93156301327865,1.37e+03
13.0%,390000,26079.857065446675,2958.4911120463175,116.2256062122437,1.38e+03
13.0%,391000,26101.899717284366,2976.813415001795,116.945405828857,1.38e+03
13.1%,392000,26009.428522821516,2988.29637316917,117.39651881975925,1.39e+03
13.1%,393000,25990.17687595263,2961.6922090109992,116.3513626945767,1.4e+03
13.1%,394000,26024.61185745895,2975.8023246788775,116.90568470708722,1.4e+03
13.2%,395000,26005.867790112272,3058.8047568366605,120.16647124632964,1.41e+03
13.2%,396000,25935.061181690544,2989.544651116833,117.44555796021764,1.42e+03
13.2%,397000,25902.864863341674,3060.3216558575587,120.22606328213084,1.42e+03
13.3%,398000,25844.279066100717,3027.9122905633585,118.9528473130394,1.43e+03
13.3%,399000,25825.291215755045,3073.693225047913,120.75137117601967,1.44e+03
13.3%,400000,25849.585634915158,2996.953820755107,117.7366304022579,1.45e+03
13.4%,401000,25732.42345732078,3069.819887088249,120.59920541469837,1.45e+03
13.4%,402000,25747.237164171413,3035.0953406490253,119.23503655040442,1.46e+03
13.4%,403000,25669.567418996245,3117.048639454004,122.45460743095154,1.47e+03
13.5%,404000,25771.38096259162,3015.0879809844782,118.44903875029274,1.47e+03
13.5%,405000,25679.06062914431,3008.819575080289,118.20278170620958,1.48e+03
13.5%,406000,25664.824786435813,3056.5645287641655,120.07846291508292,1.49e+03
13.6%,407000,25586.577488424256,3023.3054789907283,118.77186672278027,1.49e+03
13.6%,408000,25569.729820117354,3069.903902346814,120.60250599056221,1.5e+03
13.6%,409000,25543.647752840072,3078.02583977865,120.92157982444645,1.51e+03
13.7%,410000,25552.288861565292,3079.7324915046465,120.98862637754895,1.51e+03
13.7%,411000,25630.709604986012,3005.5615054513783,118.07478702805761,1.52e+03
13.7%,412000,25611.20438716933,2999.38321552281,117.83207022915326,1.53e+03
13.8%,413000,25599.89472149685,3045.200476229987,119.63202118354123,1.53e+03
13.8%,414000,25492.808099348098,3045.819390816234,119.65633551143873,1.54e+03
13.8%,415000,25526.10382109508,2958.00130374172,116.20636388060451,1.55e+03
13.9%,416000,25286.643812466413,3067.8223442711587,120.52073107894462,1.55e+03
13.9%,417000,25373.10026615858,3037.6243238055376,119.33438875033815,1.56e+03
13.9%,418000,25394.461695652455,3012.635345086519,118.35268588551735,1.57e+03
14.0%,419000,25297.36592642963,3052.430084755266,119.91603948939529,1.57e+03
14.0%,420000,25225.340253893286,3041.9021635328418,119.50244553900326,1.58e+03
14.0%,421000,25239.92860938981,3015.031100706273,118.44680418389873,1.59e+03
14.1%,422000,25240.477403461933,3026.466993957066,118.89606820914456,1.6e+03
14.1%,423000,25241.484558258206,2996.9344807655,117.7358706223799,1.6e+03
14.1%,424000,25300.6546844244,2993.738771905115,117.61032581406064,1.61e+03
14.2%,425000,25213.644816085696,3013.3019053656126,118.37887199511867,1.62e+03
14.2%,426000,25157.716089487076,3013.298670711663,118.37874492033565,1.62e+03
14.2%,427000,25098.108462899923,3038.9205380803305,119.38531109019422,1.63e+03
14.3%,428000,25052.302243605256,2996.5947902469043,117.72252573305857,1.64e+03
14.3%,429000,25051.94305400923,2981.883359215969,117.14458078576503,1.64e+03
14.3%,430000,24973.34642019868,3031.7709221043265,119.10443532632517,1.65e+03
14.4%,431000,24908.263895926997,3173.247176179313,124.66239131529191,1.66e+03
14.4%,432000,25036.256621479988,3144.6128405101185,123.53747902196578,1.67e+03
14.4%,433000,24994.319695103914,3103.791953821898,121.93381278746487,1.67e+03
14.5%,434000,24886.52281997539,3097.013282619052,121.66750974986023,1.68e+03
14.5%,435000,24874.07983341627,3083.150401235552,121.12290044341846,1.69e+03
14.5%,436000,24966.490680538118,3118.644231418403,122.5172909531614,1.69e+03
14.6%,437000,24914.835466966033,3056.1277774961018,120.0613049521308,1.7e+03
14.6%,438000,24903.472007637843,3077.464757610129,120.89953746815688,1.71e+03
14.6%,439000,24872.8076332286,3054.5191460241167,119.99810916721115,1.71e+03
14.7%,440000,24811.26773640141,3010.8677117565,118.28324364365766,1.72e+03
14.7%,441000,24784.321392007172,3018.4426059247976,118.58082664572218,1.73e+03
14.7%,442000,24762.540115382522,3115.049794396571,122.37608193612125,1.73e+03
14.8%,443000,24685.81294605136,3053.603679280327,119.96214465921216,1.74e+03
14.8%,444000,24585.797246180475,3170.1359753415127,124.54016644128468,1.75e+03
14.8%,445000,24628.384362030774,3084.8101639178567,121.18810494010728,1.76e+03
14.9%,446000,24557.80033793673,3111.816979227701,122.24907939038292,1.76e+03
14.9%,447000,24650.174255985767,3084.5968196408653,121.17972361767426,1.77e+03
14.9%,448000,24505.748810760677,3158.223432783084,124.07217704130136,1.78e+03
15.0%,449000,24514.956663619727,3069.1031607607856,120.57104851013358,1.78e+03
15.0%,450000,24489.4197887145,3082.733258058365,121.10651279281899,1.79e+03
15.0%,451000,24511.812870413065,2976.869561670438,116.94761157508124,1.8e+03
15.1%,452000,24469.55406748131,3005.217387246027,118.06126819514215,1.81e+03
15.1%,453000,24435.91077695228,3019.200806110117,118.61061286877695,1.81e+03
15.1%,454000,24369.288593895733,3065.69385498833,120.43711245450267,1.82e+03
15.2%,455000,24414.65259475261,3093.3996510388533,121.52554666627138,1.83e+03
15.2%,456000,24472.6399904266,3011.0448222266778,118.2902015052781,1.84e+03
15.2%,457000,24338.978342726827,3035.6444432425833,119.25660828389692,1.84e+03
15.3%,458000,24386.22095167637,3078.4818026716193,120.93949252441362,1.85e+03
15.3%,459000,24335.644345950335,3047.7594271609323,119.73255068048833,1.86e+03
15.3%,460000,24425.52920905873,2978.699141115495,117.01948739693155,1.86e+03
15.4%,461000,24300.5423399508,3043.4829420436186,119.56454710826408,1.87e+03
15.4%,462000,24361.743806559592,3002.379729958767,117.9497895981332,1.88e+03
15.4%,463000,24333.21904688701,2991.0947170224877,117.50645297146852,1.89e+03
15.5%,464000,24366.563526041806,3032.642112710275,119.13866042704981,1.89e+03
15.5%,465000,24350.595990803093,3024.2444084786553,118.80875297485673,1.9e+03
15.5%,466000,24166.272215366364,3106.4983189309655,122.04013351432197,1.91e+03
15.6%,467000,24348.034695420414,2990.6029162398854,117.4871323644669,1.91e+03
15.6%,468000,24333.517052821815,3019.538748934955,118.62388909919116,1.92e+03
15.6%,469000,24309.83764493838,3080.5475016368214,121.02064440400017,1.93e+03
15.7%,470000,24296.589336423203,3033.543582967364,119.17407507699954,1.94e+03
15.7%,471000,24257.458921797574,3091.3348368780757,121.44442954661034,1.94e+03
15.7%,472000,24196.230485863984,3140.1617717579265,123.36261685594154,1.95e+03
15.8%,473000,24216.883781652898,3086.554945070135,121.25664942425514,1.96e+03
15.8%,474000,24237.556131910533,3053.9823063844533,119.97701918917993,1.96e+03
15.8%,475000,24243.39963318035,3003.8885026226535,118.00906238647542,1.97e+03
15.9%,476000,24129.453231185675,3089.405605728878,121.36863886435138,1.98e+03
15.9%,477000,24059.955905202776,3199.0837042994167,125.67739052585291,1.99e+03
15.9%,478000,24182.560161737725,3066.004706300595,120.44932438309789,1.99e+03
16.0%,479000,24208.995654918253,3056.290667094114,120.06770414062169,2e+03
16.0%,480000,24100.207017865032,3014.6284093380427,118.4309842788808,2.01e+03
16.0%,481000,24073.318057687953,3024.9456447280077,118.83630134498604,2.01e+03
16.1%,482000,24112.64532797411,2985.923856888677,117.3033134888979,2.02e+03
16.1%,483000,24063.788976177573,3085.4755607592842,121.2142453435554,2.03e+03
16.1%,484000,24069.741015911102,3092.813834979554,121.50253262835736,2.03e+03
16.2%,485000,24012.06467858702,3147.7109532546083,123.659189724552,2.04e+03
16.2%,486000,24018.012094534934,3069.6756983566825,120.59354089785495,2.05e+03
16.2%,487000,24021.537257499993,3014.338060725289,118.41957780772636,2.05e+03
16.3%,488000,24035.58552803099,3000.3329128031005,117.8693794986219,2.06e+03
16.3%,489000,24006.43807071075,3038.7212640155644,119.37748252214968,2.07e+03
16.3%,490000,24024.441997695714,3087.8579785946276,121.30783966129265,2.08e+03
16.4%,491000,24017.28333148919,3098.899002691731,121.74159108061065,2.08e+03
16.4%,492000,23928.968132153153,3142.618939211362,123.45914774483882,2.09e+03
16.4%,493000,24032.202297724783,3098.2240360967817,121.71507472524573,2.1e+03
16.5%,494000,24051.006143264472,3023.898182289401,118.79515132887957,2.1e+03
16.5%,495000,23984.464582273737,3053.7412280533836,119.96754832240627,2.11e+03
16.5%,496000,23930.915397968143,3121.056252482749,122.61204824658672,2.12e+03
16.6%,497000,23889.35212836787,3044.2091934362224,119.59307820914324,2.13e+03
16.6%,498000,23850.75217232853,2988.262381192365,117.39518343021072,2.13e+03
16.6%,499000,23834.746260080487,3064.215308215892,120.37902710341271,2.14e+03
16.7%,500000,23919.210778798908,3047.4928209320433,119.72207693917932,2.15e+03
16.7%,501000,23889.343253411353,3070.942643622233,120.64331339199116,2.15e+03
16.7%,502000,23897.356243513525,3108.722900262003,122.1275271565457,2.16e+03
16.8%,503000,23938.170928433537,2962.6517766451516,116.3890597251768,2.17e+03
16.8%,504000,23903.268839536235,2927.2612633772023,114.99872806523655,2.17e+03
16.8%,505000,23801.292416024953,3048.261466204316,119.7522735020043,2.18e+03
16.9%,506000,23867.885448008776,3016.7606251787256,118.51474930276397,2.19e+03
16.9%,507000,23794.63105595857,3080.1209382267025,121.00388667546511,2.2e+03
16.9%,508000,23786.48330433108,2990.797135977885,117.49476237109273,2.2e+03
17.0%,509000,23645.102597679943,3055.0047251141586,120.01718535232264,2.21e+03
17.0%,510000,23735.502001725137,3105.1340031573377,121.98653577755367,2.22e+03
17.0%,511000,23755.318042900413,3070.0313664770047,120.60751347418838,2.22e+03
17.1%,512000,23674.348127450794,3078.7227313898475,120.94895751358192,2.23e+03
17.1%,513000,23727.211987707764,3035.2461378941634,119.24096068556912,2.24e+03
17.1%,514000,23748.139141872525,3004.4326883917665,118.03044096038755,2.24e+03
17.2%,515000,23768.729066997766,2963.103780649306,116.40681689848022,2.25e+03
17.2%,516000,23836.675397459418,2986.5456722593653,117.32774177537003,2.26e+03
17.2%,517000,23821.223374400288,3070.757308979235,120.63603244017526,2.27e+03
17.3%,518000,23670.20466941595,3057.6581058789743,120.12142456624048,2.27e+03
17.3%,519000,23757.629849888384,2984.6091271777213,117.25166376210342,2.28e+03
17.3%,520000,23608.936989236623,3065.405467927792,120.42578304377761,2.29e+03
17.4%,521000,23614.067601062357,3099.014209877054,121.74611704484278,2.29e+03
17.4%,522000,23646.239023637027,3065.3029593673546,120.42175595053057,2.3e+03
17.4%,523000,23624.836044361815,3032.102250682763,119.11745171320138,2.31e+03
17.5%,524000,23660.25287641585,3021.757438679774,118.71105128789557,2.32e+03
17.5%,525000,23726.196669518948,2996.3993972740245,117.71484963539173,2.32e+03
17.5%,526000,23735.153522808105,3016.3388685484106,118.49818041065785,2.33e+03
17.6%,527000,23730.531628333032,3094.4621359951757,121.56728684850047,2.34e+03
17.6%,528000,23764.317768633366,3075.69033048513,120.82982832911546,2.34e+03
17.6%,529000,23651.70697126165,3155.172180077499,123.95230725566321,2.35e+03
17.7%,530000,23721.445078438148,3123.5590214724944,122.71037061161188,2.36e+03
17.7%,531000,23619.553930044174,3078.48128307525,120.93947211184494,2.36e+03
17.7%,532000,23590.51034371741,3083.16780888667,121.12358431054102,2.37e+03
17.8%,533000,23640.37682068348,3170.4309069835763,124.55175295873286,2.38e+03
17.8%,534000,23678.372643128037,3180.9574335724014,124.96529212033921,2.38e+03
17.8%,535000,23712.04428775236,2967.5849093229745,116.58285998155439,2.39e+03
17.9%,536000,23783.579129830003,2984.3606757834496,117.24190324134473,2.4e+03
17.9%,537000,23668.570181399584,3070.507527266591,120.62621965728246,2.41e+03
17.9%,538000,23720.319887511432,3042.3677004584288,119.52073435899335,2.41e+03
18.0%,539000,23666.8703558743,3106.935585572552,122.05731172394641,2.42e+03
18.0%,540000,23734.4395376537,2978.6433593552383,117.01729598629151,2.43e+03
18.0%,541000,23675.886653069407,3053.0739011000614,119.94133209367541,2.43e+03
18.1%,542000,23642.500013101846,3149.3463020360273,123.72343511055803,2.44e+03
18.1%,543000,23677.5790232718,3042.189040510314,119.51371562546026,2.45e+03
18.1%,544000,23651.868026159704,3053.152312479874,119.94441251873248,2.45e+03
18.2%,545000,23646.389920461923,2999.4879627643413,117.83618526995782,2.46e+03
18.2%,546000,23630.20988751948,2921.835422575552,114.78557155656387,2.47e+03
18.2%,547000,23612.44172876142,2952.0999423599437,115.974526339744,2.47e+03
18.3%,548000,23648.994159057736,2992.4320272298974,117.55898978285764,2.48e+03
18.3%,549000,23658.01581721008,3067.575361803666,120.51102826561142,2.49e+03
18.3%,550000,23687.9951885473,3119.7975258198985,122.56259862382136,2.49e+03
18.4%,551000,23653.464035749435,3099.4976671306745,121.76510987269037,2.5e+03
18.4%,552000,23598.15771036595,3050.5094095520126,119.84058493118285,2.51e+03
18.4%,553000,23638.028608750552,3035.3383196154928,119.24458208446383,2.51e+03
18.5%,554000,23740.47503591515,3094.121636295577,121.55391017015258,2.52e+03
18.5%,555000,23741.38367434591,3102.0495832943525,121.86536300575494,2.53e+03
18.5%,556000,23604.70707657188,3085.8410509052546,121.2286037824255,2.53e+03
18.6%,557000,23640.082607381046,3077.91033957976,120.9170423490493,2.54e+03
18.6%,558000,23597.55536552146,3036.6227330155502,119.29504082183877,2.55e+03
18.6%,559000,23654.645933996886,2963.051301392933,116.40475522813729,2.55e+03
18.7%,560000,23535.370778065175,3008.694714498948,118.19787650412894,2.56e+03
18.7%,561000,23562.11210348457,3003.6352783380007,117.99911436064848,2.57e+03
18.7%,562000,23485.130880385637,3023.5585524357857,118.78180882280832,2.57e+03
18.8%,563000,23572.275798698887,3073.334856083591,120.73729249585858,2.58e+03
18.8%,564000,23590.852794505656,3055.1353431889947,120.02231674003183,2.59e+03
18.8%,565000,23624.731428135186,3103.3331258458493,121.91578753146655,2.59e+03
18.9%,566000,23555.34974304959,3104.8135855241603,121.97394803189323,2.6e+03
18.9%,567000,23549.74655442685,2998.5467811619374,117.79921054258759,2.6e+03
18.9%,568000,23488.217131741345,3095.9985492174164,121.62764550816328,2.61e+03
19.0%,569000,23528.938774637878,3158.7652305730153,124.09346180241585,2.62e+03
19.0%,570000,23599.850212130696,3082.2828035955067,121.08881649391729,2.62e+03
19.0%,571000,23630.17737654783,2999.3402472387043,117.83038220148005,2.63e+03
19.1%,572000,23619.80282726884,3058.7950931131068,120.16609160275938,2.64e+03
19.1%,573000,23618.634859342128,3060.5934686242463,120.23674156453495,2.64e+03
19.1%,574000,23642.002386786044,3056.140472270504,120.06180367184794,2.65e+03
19.2%,575000,23564.074940990657,3026.2830636700073,118.88884242806071,2.66e+03
19.2%,576000,23636.61038401723,3125.8083723937643,122.79873733792861,2.66e+03
19.2%,577000,23677.29544742033,2976.6533343310075,116.93911699029013,2.67e+03
19.3%,578000,23602.072840727866,3039.5463833347844,119.40989769239755,2.68e+03
19.3%,579000,23572.764591295272,3095.650008759974,121.61395294515681,2.68e+03
19.3%,580000,23641.800063882023,2933.6596226851548,115.25009038513757,2.69e+03
19.4%,581000,23555.359264545143,3077.52537010552,120.9019186563214,2.7e+03
19.4%,582000,23655.808525744826,2999.892064719612,117.85206059049932,2.7e+03
19.4%,583000,23582.627125255764,2981.305523375475,117.1218802542072,2.71e+03
19.5%,584000,23633.979592071846,3023.7459369603403,118.78917030511003,2.71e+03
19.5%,585000,23595.363278409466,3110.3253595430624,122.19048046426842,2.72e+03
19.5%,586000,23505.05647018552,3090.5925008519407,121.41526655392822,2.73e+03
19.6%,587000,23594.807092742994,2970.84232728626,116.7108290587397,2.73e+03
19.6%,588000,23552.75353585556,3062.0780916538383,120.29506562402203,2.74e+03
19.6%,589000,23501.931749142706,3080.1340034683876,121.00439994915011,2.75e+03
19.7%,590000,23535.47944060713,2983.7836443210595,117.21923431012951,2.75e+03
19.7%,591000,23491.49986260757,2916.343256550619,114.56980943273427,2.76e+03
19.7%,592000,23380.595183428377,3032.825970558498,119.14588336234259,2.77e+03
19.8%,593000,23529.301001999527,2930.634691748319,115.1312546615985,2.77e+03
19.8%,594000,23502.578922035173,3040.9476403293984,119.46494668105093,2.78e+03
19.8%,595000,23438.176568668336,3109.47011567967,122.15688183823998,2.78e+03
19.9%,596000,23484.098856475204,3044.11699621002,119.58945620113286,2.79e+03
19.9%,597000,23505.492097608745,3108.33044674025,122.112109449766,2.8e+03
19.9%,598000,23576.793343640864,3137.8268410641685,123.2708880911531,2.8e+03
20.0%,599000,23543.45064773783,3068.910302515074,120.56347199032265,2.81e+03
20.0%,600000,23593.402068737894,2988.035819093642,117.3862828399194,2.82e+03
20.0%,601000,23558.575086079538,3017.5396592322277,118.54535399336439,2.82e+03
20.1%,602000,23479.38277855888,3064.223488221232,120.37934845846954,2.83e+03
20.1%,603000,23468.664595149457,2991.736088945844,117.53164954559242,2.83e+03
20.1%,604000,23390.522391572595,3028.408495885273,118.97234095427783,2.84e+03
20.2%,605000,23445.09281683527,3088.906539831827,121.34903284417832,2.85e+03
20.2%,606000,23436.27941904962,3096.712862681209,121.6557076223325,2.85e+03
20.2%,607000,23390.36658526212,3113.147502725239,122.30134958293188,2.86e+03
20.3%,608000,23397.454052535817,3058.727116940945,120.16342112935985,2.87e+03
20.3%,609000,23426.64625826478,2937.534284021649,115.4023081358915,2.87e+03
20.3%,610000,23478.537434719503,3008.2918729140392,118.18205069778365,2.88e+03
20.4%,611000,23425.023253327236,3067.1308631247334,120.49356594226383,2.88e+03
20.4%,612000,23350.24113058299,3009.2826236517585,118.22097277012918,2.89e+03
20.4%,613000,23376.46803357452,3014.4672602861947,118.42465346850071,2.9e+03
20.5%,614000,23389.0748854056,3034.6635382695886,119.21807300668797,2.9e+03
20.5%,615000,23427.881578341126,3020.2005065603557,118.64988653445964,2.91e+03
20.5%,616000,23410.92477273196,2988.1116826005323,117.38926317068389,2.92e+03
20.6%,617000,23390.295003514737,3058.698226263251,120.16228614655893,2.92e+03
20.6%,618000,23460.577147033066,3053.7298265107,119.96710040785797,2.93e+03
20.6%,619000,23356.497640069574,3043.842319344121,119.57866540134928,2.93e+03
20.7%,620000,23454.52243766561,2943.7440232670733,115.64626043484574,2.94e+03
20.7%,621000,23507.373296312988,3075.7063388792853,120.83045722582149,2.95e+03
20.7%,622000,23472.682895854115,3053.025936758115,119.93944779370352,2.95e+03
20.8%,623000,23424.974800925702,3016.2215086449814,118.49356987596147,2.96e+03
20.8%,624000,23339.716842271388,3031.528415459138,119.09490834761202,2.97e+03
20.8%,625000,23364.624339416623,3005.1471210097097,118.05850775557923,2.97e+03
20.9%,626000,23437.454716999084,2963.5505922903258,116.42437008754635,2.98e+03
20.9%,627000,23426.497636802495,2995.536553710779,117.68095245185917,2.98e+03
20.9%,628000,23430.766887087375,3035.076777850988,119.23430730283424,2.99e+03
21.0%,629000,23449.260191004723,3079.6764947520624,120.9864265208421,3e+03
21.0%,630000,23406.70641001314,3088.2289902150146,121.32241501367943,3e+03
21.0%,631000,23419.285417046398,3135.6039063759627,123.18355913800703,3.01e+03
21.1%,632000,23480.396020960063,3113.3391980578554,122.30888041719757,3.01e+03
21.1%,633000,23416.531487090513,3110.1875955802643,122.185068347252,3.02e+03
21.1%,634000,23356.96368473023,3160.9593378281493,124.17965825735338,3.03e+03
21.2%,635000,23465.79272621125,2987.5555031099957,117.36741341822487,3.03e+03
21.2%,636000,23373.807158011943,3038.59649556585,119.37258093949994,3.04e+03
21.2%,637000,23435.542601436377,3072.0089223363393,120.68520261363987,3.05e+03
21.3%,638000,23366.192145038396,3016.2955102701135,118.49647706189371,3.05e+03
21.3%,639000,23276.018390640616,2991.5378965055334,117.52386346963362,3.06e+03
21.3%,640000,23460.740403914824,2928.8072785369336,115.0594639411773,3.06e+03
21.4%,641000,23467.943079369143,2990.1190526754826,117.46812357452403,3.07e+03
21.4%,642000,23379.453813634813,3119.7190250277727,122.5595146861628,3.08e+03
21.4%,643000,23385.48566896096,3010.087733987161,118.25260187877136,3.08e+03
21.5%,644000,23398.542933553457,3067.287340556717,120.49971322603183,3.09e+03
21.5%,645000,23336.820479962975,3061.9116664856974,120.28852753912552,3.09e+03
21.5%,646000,23344.04260550067,3038.2230595550127,119.35791034388303,3.1e+03
21.6%,647000,23321.99207246676,2981.7189233745457,117.13812085243123,3.11e+03
21.6%,648000,23364.952805373818,3009.945411879443,118.24701069305524,3.11e+03
21.6%,649000,23416.475901458412,3071.7460775968398,120.67487664407258,3.12e+03
21.7%,650000,23385.120717698708,3009.420501526765,118.22638936223608,3.12e+03
21.7%,651000,23316.07196721807,3091.4884596997476,121.4504646857744,3.13e+03
21.7%,652000,23408.192792270333,3058.2574108873155,120.14496852336676,3.13e+03
21.8%,653000,23379.22566364333,3034.5135233632477,119.21217960604216,3.14e+03
