#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
75000,38049.77767509222,0.9900539577086599,0
100000,38049.73947894573,1.0067170962628083,2.24e+04
125000,38049.748619019985,0.9967186693630619,2.24e+04
150000,38049.505974948406,0.9965919889197723,2.24e+04
175000,38049.4551975131,1.022769448309373,2.24e+04
200000,38049.65134012699,1.0120206992840246,2.23e+04
225000,38049.35524213314,1.0000688001162725,2.23e+04
250000,38049.640993237495,1.00471164747073,2.23e+04
275000,38049.43634498119,1.0134468915183061,2.23e+04
300000,38049.338363051414,1.010796404092663,2.23e+04
325000,38048.96253210306,1.0115731713128833,2.23e+04
350000,38049.7822971344,0.9994800659105136,2.23e+04
375000,38049.3167681098,0.9856570689029444,2.23e+04
400000,38049.36005425453,0.9936411107301509,2.23e+04
425000,38049.47713369131,1.0007663395668276,2.23e+04
450000,38049.38274252415,1.017027418628977,2.23e+04
475000,38049.351674973965,0.972448461195407,2.23e+04
500000,38049.643567204475,1.000712882725999,2.23e+04
525000,38049.637561798096,0.9655620635803986,2.23e+04
550000,38049.41858899593,0.9785015397323472,2.23e+04
575000,38050.081703841686,0.9829432774794309,2.23e+04
600000,38049.47496795654,0.9963338123163622,2.22e+04
625000,38049.91088843346,0.9899107476299652,2.21e+04
650000,38049.570493519306,1.0037047909547254,2.2e+04
